Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Flask Essential Training (2019),"Flask is a Python framework for building lightweight and dynamic web applications. It helps speed up tedious behind-the-scenes development work, such as URL mapping, and offers more control than its closest competitor, Django. If you want to learn Flask, this course provides the training and hands-on examples you need to get started quickly. Join instructor Nick Walter as he covers the pros and cons of working with Flask, and steps through how to create your first app with the framework. Nick covers data flow in Flask; working with templates using Jinja, the template engine in Flask; using blueprints and views for organization; testing your Flask app; and deploying your project with Gunicorn.",Course,2022-05-26 08:19 UTC,2022-05-26 08:00 UTC,false,N/A,
Design Thinking: Implementing the Process (2016),"Design thinking may be the answer to all your product design challenges. It can help you save time and find more creative solutions to your customer needs. But it takes a good plan and team buy-in to get started. Learn how to implement a design thinking process at your company, with this practical guide from user experience expert Chris Nodder. Follow along with a sample project—a trail maintenance app—as it goes through a one-week design thinking process. Watch the development team use design thinking to turn new ideas into a testable concept and full-featured product.<br><br>

Along the way, you'll learn who should be involved, what activities you need to perform, and how to observe users, come up with great ideas, test solutions with prototypes, and plan development. Plus, discover how to avoid the common issues that can get in the way of a successful design thinking session, and the traps that people fall into when using the process for the first time.",Course,2020-05-20 04:51 UTC,2020-05-20 04:49 UTC,false,N/A,
Microsoft Project Tips Weekly,"Microsoft Project has an almost overwhelming number of features. How do you understand everything it can do? This tips-based course shows you how to get the most out of Microsoft Project, sharing time-saving tricks, powerful shortcuts, and reviews of cool hidden features. Bonnie Biafore shares techniques to increase your expertise, boost your productivity, and coax Project to do exactly what you want. Learn to create hammock tasks, prevent duplicate resources, create new views, summarize resource utilization, and more.",Course,2018-08-08 18:57 UTC,N/A,false,N/A,
Design Thinking: Understanding the Process (2016),"Curious about design thinking? It's the design methodology on everyone's mind. While it's not magic, design thinking can help you save time and find more creative solutions to your customers' needs. Having a good understanding of the process will help you explain the benefits to management and clients and implement design thinking at your organization.<br><br>
 
In this course, Chris Nodder explains where design thinking fits into product development and what it can help you achieve. He describes each step in the process, from identifying the problem you want to solve and brainstorming solutions, to prototyping, development, and release. Learn about the pros and cons of this approach and how to overcome challenges such as organization inertia and silos. Done right, design thinking can start your organization moving toward broader user-centered design techniques such as information architecture, content testing, usability testing, and marketing research.",Course,2019-06-08 07:58 UTC,2019-06-08 07:55 UTC,false,N/A,
The Six Morning Habits of High Performers,"Learn the six habits of the most successful people in history. Hal Elrod describes how they changed his life—and how they can change yours, too—in this course adapted from the podcast <i>How to Be Awesome at Your Job</i>. Elrod is one of the highest rated keynote speakers in America, creator of one of the fastest growing and most engaged online communities in existence, and author of one of the bestselling books in the world, <i>The Miracle Morning</i>. Here he describes approaches for silence that generate new ideas, explains how NOT to do affirmations, and reveals the impact of tiny amounts of exercise. Plus, learn how to do simple practices, like reading and scribing, to introspect and become a better version of yourself.<br><br>This course was created by Pete Mockaitis of <a href=""https://awesomeatyourjob.com/"" target=""_blank""><i>How to Be Awesome at Your Job</i></a>. We are pleased to offer this training in our library.<br><br><img src=""https://media.licdn.com/media/AAYAAgCwAAoAAQAAAAAAAIBpAic0FsSvQXaA8NB7qnVcIw.jpg"" alt=""Company logo for How to Be Awesome at Your Job"" width=""20%"" height=""20%""/>",Course,2023-05-19 12:14 UTC,N/A,false,N/A,
Android Studio Essential Training 2020,"Software developers who want to build Android apps need Android Studio—the official Google IDE. Android Studio is based on IntelliJ IDEA and contains the same great coding and debugging features plus lots of tools that are unique to Android development: layout editors, resource managers, virtual device support, and more. In this course, instructor David Gassner introduces Android Studio. He helps you set up your environment and your first project and provides handy shortcuts for writing and debugging code. You can also learn how to add version control and share projects on GitHub, manage project dependencies, use templates, and work with Google’s preferred programming language for Android development, Kotlin. By the end of the course, you should be able to use Android Studio to become a faster, even more efficient developer.",Course,2022-12-16 12:04 UTC,N/A,false,N/A,
Python Data Structures:  Trees,"What are trees, in Python, and how do they fit in with other data structures such as linked lists and graphs? In this course, instructor Ryan Mitchell discusses binary search trees (BSTs) and what you can do with them in a real-world context. Ryan shows you how to build a basic tree with just a few lines of Python. She steps through how to search and traverse a tree, as well as how to print a tree to a terminal. Ryan explains how to add nodes to your tree, delete them, and detect unbalanced trees. When you find an unbalanced tree, it’s important to rebalance it. Ryan walks you through rebalancing four types of unbalanced trees. She concludes with a challenge that features smarter automated rebalancing.",Course,2022-10-05 13:01 UTC,2022-10-05 12:56 UTC,false,N/A,
Advertising on Instagram [2017],"In this course, marketing expert Anson Alexander explains how advertising works on Instagram and how Facebook Ads Manager works. Anson goes over the types of content you can use to advertise on Instagram and then shows how to create, upload, and format ads. He demonstrates how to target specific audiences, implement a budget, and run scheduled campaigns. He also covers analytics so you can discover how to adjust your advertising efforts based on performance information you find in analytics reports.",Course,2019-04-01 14:50 UTC,2019-04-01 14:47 UTC,false,N/A,
Five Ways to Control Your Time,"Everybody wants more time. While you can't make more hours in the day, you can find more time for the most important things in your life. In this course, Chris Croft introduces 5 simple time management tips to reduce distractions and stay focused on what matters.<br><br>The first—saying no—is simple in theory, but hard in practice. Chris explains how to reclaim the power of ""no"" to make room for true priority items. The second step, negotiation, allows you to spend less time on unimportant tasks. The third way is to delegate sometimes, and the fourth is improving systems and processes so that repetitive tasks are quickly and easily managed. Last but not least, Chris explains how to overcome perfectionism and nitpicking. He explains how to apply the five methods to all time-stealers, including meetings, interruptions, and more.<br><br>In the initial chapters, he'll help you clarify your life and work goals, prioritize to-dos using Eisenhower's matrix of tasks, and answers questions like ""Does working longer hours actually get more done?"" The worksheets included with the exercise files will help you apply the lessons to your own work and life, and hone your time management skills—one step at a time.",Course,2018-08-27 05:25 UTC,N/A,false,N/A,
Efficient Time Management,"Did you know that if you save just one hour per week, you could gain a whole week of uninterrupted time each year? That's the power of time management. This course will help you reclaim those hours by managing your time more efficiently and increasing your professional and personal productivity. Instructor Chris Croft explores how to create a productive environment by establishing systemic approaches for repeating tasks, reducing inefficiency, organizing your work area, and using an effective system to reduce filing. He also discusses how to best create and manage to-do lists, organize the constant influx of information, leverage software to improve efficiency, and manage email.<br><br>The most efficient people use technology and established systems of organization to manage their tasks and maximize their time. This course shows how to put these time management techniques to work for you.",Course,2020-04-19 06:18 UTC,N/A,false,N/A,
