Question,Answer
How many years of work experience do you have with Methodology?,5
How many years of work experience do you have with Agile Leadership?,5
Do you have the following license or certification: Advanced Certified ScrumMaster?,No
How many years of work experience do you have with SAS (Software)?,0
What is your level of proficiency in deu?,None
How many years of work experience do you have with SAP Cloud Platform?,4
How many years of urn:li:industry:116 experience do you currently have?,0
How many years of work experience do you have with Scrum?,2
Do you have the following license or certification: Chartered Financial Analyst?,No
How many years of work experience do you have with Oracle Database?,5
How many years of work experience do you have with Six Sigma Green Belt?,0
How many years of work experience do you have with Leading Development Teams?,3
How many years of work experience do you have with Office 365?,4
How many years of work experience do you have with Reltio Cloud MDM?,0
Are you legally authorized to work in au?,No
How many years of urn:li:industry:43 experience do you currently have?,10
How many years of LGL experience do you currently have?,40
Description,
How many years of IT experience do you currently have?,5
How many years of urn:li:industry:44 experience do you currently have?,0
How many years of work experience do you have with Oracle E-Business Suite?,2
How many years of work experience do you have with Data Analysis?,10
Are you legally authorized to work in pl?,Yes
How many years of work experience do you have with Customer Experience?,4
How many years of work experience do you have with User Acceptance Testing?,0
Are you legally authorized to work in ro?,No
How many years of work experience do you have with Financial Accounting?,10
How many years of work experience do you have with REST APIs?,0
Do you possess an active TS/SCI (Top Secret or Sensitive Compartmented Information) clearance?,No
What is your level of proficiency in dut?,None
How many years of work experience do you have with IT Project Management?,3
How many years of work experience do you have with Subversion?,0
How many years of work experience do you have with Microsoft PowerPoint?,10
Do you have the following license or certification: PMI Professional in Business Analysis?,No
Are you legally authorized to work in se?,No
How many years of work experience do you have with Windows?,20
How many years of SALE experience do you currently have?,0
Are you legally authorized to work in cn?,No
What is your level of proficiency in vie?,None
How many years of work experience do you have with Project Delivery?,0
State,
Do you have a valid driver's license?,Yes
Do you have the following license or certification: Aruba Certified ClearPass Associate V6.5?,Yes
How many years of work experience do you have with Business Acumen?,5
How many years of work experience do you have with Google Cloud Platform (GCP)?,0
Have you completed the following level of education: Master of Business Administration?,No
How many years of work experience do you have with Release Management?,0
Company,
ZIP / Postal Code,
How many years of work experience do you have with IT Strategy?,4
How many years of work experience do you have with Scheduling?,4
How many years of work experience do you have with Microsoft Dynamics CRM?,0
Are you legally authorized to work in hu?,No
How many years of work experience do you have with Strategic Thinking?,3
How many years of SUPL experience do you currently have?,0
How many years of work experience do you have with SAP BusinessObjects?,4
How many years of work experience do you have with Kubernetes?,10
How many years of work experience do you have with Business?,0
How many years of work experience do you have with Supervisory Skills?,4
What is your level of proficiency in por?,None
We must fill this position urgently. Can you start immediately?,No
How many years of work experience do you have with Windows Server?,0
How many years of ENG experience do you currently have?,3
How many years of work experience do you have with Operating Systems?,10
Do you have the following license or certification: Certified Management Accountant?,Yes
What is your level of proficiency in rus?,Native or bilingual
Are you legally authorized to work in be?,No
Have you completed the following level of education: Master's Degree?,No
How many years of work experience do you have with Customer Satisfaction?,0
How many years of work experience do you have with Strategy?,5
How many years of urn:li:industry:42 experience do you currently have?,0
How many years of work experience do you have with Android?,10
How many years of work experience do you have with Microsoft Teams?,1
Are you legally authorized to work in eg?,No
Your title,
How many years of work experience do you have with Microsoft Project?,4
Location (city),
How many years of work experience do you have with Financial Systems?,10
How many years of MNFC experience do you currently have?,3
Do you speak Japanese?,No
Are you legally authorized to work in lu?,Yes
How many years of work experience do you have with Sage Products?,0
Are you legally authorized to work in sg?,No
How many years of work experience do you have with Microsoft Dynamics NAV?,0
Do you speak Arabic?,No
Have you completed the following level of education: Bachelor's Degree?,Yes
Are you legally authorized to work in br?,No
How many years of work experience do you have with Microsoft Exchange?,0
Do you have the following license or certification: Certified Associate in Project Management?,No
