Company Name,Title,Description,Location,Started On,Finished On
Haleon,Product Manager - Finance Systems,"- Governing and overseeing technology stack for Planning Budgeting and Controlling area, including SAP FIM, SAP FC, SAP BW, SAP SAC, Board, and Azure. - Leading a cross-functional team of 50+ members, including product team, developers and support team. - Working with enterprise and data teams on solutions and integration design.","Poznan, Wielkopolskie, Poland",Oct 2024,
Haleon,Technology Product Manager,"-Managed product team supporting R2R, Treasury and Tax business services. -Provided governance oversights for Cadency, Quantum, Board, Vertex, Accuity and Alteryx applications. -Implemented ITSM processes and Agile ways of working for entrusted area and team.","Poznań, Wielkopolskie, Poland",Jul 2022,Oct 2024
GSK,Product Manager,Supported separation of GSK and CH and migration of technology stack.,"Poznań, Wielkopolskie, Poland",Mar 2022,Jul 2022
GSK,"Manager, Portfolio Lead (Core Tech)",- Drove governance in adherence to Core Tech Global Portfolio standards; - Provided lean business case review and guidance in alignment with technology strategies; - Facilitated Portfolio Management function to drive financial accountability.,"Poznań, Wielkopolskie, Poland",Jan 2021,Mar 2022
GSK,Team Lead,"GSK: - Forbes, position 6 among the top 20 Pharma companies (2019) - Fortune 500, position 296 (2019)  Transition and transformation of Nordics operations ","Poznań, Wielkopolskie, Poland",May 2020,Dec 2020
Fujitsu Poland,Team Leader for HQ function,"- Led transformation of HQ function with team of 20 controllers (EMEIA, Germany, UK, Global) - Supervised reporting of SG&A costs to headquarter in Japan - Initiated standardization of processes related to forecasting, reporting and cross-charges","Lodz, Lodz District, Poland",Oct 2018,Apr 2020
Korsikov Consulting Limited,Founder,,"Poznań, Wielkopolskie, Poland",Jun 2018,Apr 2020
KlientWave - Digital Marketing Agency,Project Manager,Change and transformation management Process optimization and design Optimizing client’s project management function,"Kharkiv Region, Ukraine",Jul 2018,Dec 2019
Fujitsu Poland,Controlling Team Leader,"Fujitsu: - Forbes Lists Global 2000 position 521 (2018) - Fortune U.S. 500 position 237 (2017)  - Executed transition project for 15 finance controllers from German HQ to Financial services center in Poland. Defined scope, planned and supervised training, monitored knowledge documentation process. - Project lead for transformation of GL team, involving defining team scope of activities, establishing processes and documenting procedures for 16 business analysts - Managed Purchase order standardization project for UK and Germany","Lodz, Lodz District, Poland",Aug 2017,Dec 2018
AltexSoft,Head Of Finance,"Altexsoft Group: - DOU, The Best IT Employer in Kharkiv (2016) - Clutch, Top Ukraine-based Web and Software Developer (2016)  - Crisis management which brought company from being in red to black in 3 months (performance and profitability measurement, redundancies, cost cutting)  - Defined finance department role (developed credit, budgeting, procurement, and travel policies) - Introduced financial reporting under US GAAP (restatement of prior results and balances, changing reporting from cash to accrual basis) - Defined business processes (developed sales remuneration policy, introduced methodology of project profitability assessments, established benchmarks)","Kharkiv Region, Ukraine",Oct 2015,Jul 2016
Yandex,Finance Manager,"Yandex NV: - Forbes Lists Global 2000 position 1,651 (2014)  - 52% market share in Russia (2017)  - Corporate reporting for companies in Finland (turnover over EUR 40 mln.), Switzerland (turnover over EUR 70 mln.), Turkey and Israel under US GAAP standards; - Ensured accuracy of the annual and quarterly reports and reporting data (prepare and review F-20 SEC form); - Controlled construction of data-center in Finland [over EUR 130 mln. asset worth]; - Developed templates for testing and reconciliation (revenues, costs, taxes, assets, CIP); - Managed project on introduction of ORACLE in Turkish location and HR module in all of the foreign entities of the Group.","Moscow, Russian Federation",Mar 2014,Aug 2015
Odessa Sparkling Wine Company (Gruppo Campari),FP&A Manager,Campari Group is: - 6th largest premium spirits player worldwide (2017) - The Power 100 Spirits & Wine brand position 71 (2015)  Participated in sale of Odessa sparkling wine plant to Vinfort LLC (Ukraine) Supervised transition of accounting and finance reporting functions during divestment.  Set up financial reporting and management accounting for newly created distribution entity in Kiev.,"Odessa, Ukraine",Nov 2013,Mar 2014
Archer Daniels Midland Company,Finance Controller,"Archer Daniels Midland on: - Forbes Lists Global 2000 position 324 (2018) - Fortune U.S. 500 position 48 (2018)  - Corporate reporting for ADM Ukraine LLC and ADM Illichivsk JSC (daily crush 700 MT), JV Universal Liquid Terminal (Switzerland), ADM Szamotuly Sp. z o. o. (daily crush 1,500 MT, annual turnover USD 20 mln.) under Local GAAP and international [US GAAP and IFRS] standards; - Controlled CAPEX (AFE) projects with aggregated value of over USD 16 mln. (including refinery expansion project (part of Edible Oils Limited Polska Sp. z o. o. acquisition) [USD 7 mln. worth]; - Risk management (incl. currency hedging) and regulatory compliance (incl. assistance to statutory  and tax auditors); - Managed working capital and cash budget through monitoring of A/P and A/R ageing report and maintenance of projected weekly and monthly cash flows.","Greater Poland District, Szamotuly County, Poland",Aug 2011,Nov 2013
London Institute of Technology and English,Lecturer,"- lectured on Corporate and business law, financial reporting, statistics, financial management - invigilated exams - mentored students ",,Feb 2010,May 2011
