Question,Answer
How many years of urn:li:industry:17 experience do you currently have?,0
How many years of work experience do you have with Thinking Skills?,38
What is your level of proficiency in eng?,Professional
Are you legally authorized to work in tr?,No
"Are you willing to take a drug test, in accordance with local law/regulations?",No
How many years of STRA experience do you currently have?,5
Are you legally authorized to work in za?,No
Have you completed the following level of education: Doctor of Philosophy?,No
How many years of urn:li:industry:12 experience do you currently have?,0
How many years of ADM experience do you currently have?,8
How many years of work experience do you have with Google Ads?,0
Do you have the following license or certification: Scrum Product Owner Certified?,No
How many years of work experience do you have with Analytical Skills?,10
Description,
Have you completed the following level of education: High School Diploma?,Yes
How many years of work experience do you have with User Experience (UX)?,2
Mobile phone number, +48 513523937
How many years of work experience do you have with JUnit?,0
How many years of work experience do you have with C (Programming Language)?,0
How many years of urn:li:industry:96 experience do you currently have?,5
How many years of work experience do you have with Prototyping?,0
How many years of work experience do you have with Project Management?,5
How many years of work experience do you have with Software Development Life Cycle (SDLC)?,3
How many years of work experience do you have with Amazon Web Services (AWS)?,0
State / Province,
How many years of work experience do you have with Microsoft Outlook?,10
How many years of work experience do you have with Jira?,4
School,
How many years of urn:li:industry:144 experience do you currently have?,0
How many years of work experience do you have with Project Control?,5
How many years of work experience do you have with Cross-functional Team Leadership?,4
Have you completed the following level of education: Associate's Degree?,Yes
How many years of work experience do you have with Representational State Transfer (REST)?,0
Are you legally authorized to work in nl?,No
How many years of work experience do you have with Software as a Service (SaaS)?,10
How many years of work experience do you have with JavaScript?,0
Do you have the following license or certification: Accountant?,Yes
City,
Do you have the following license or certification: Agile Certified Product Manager and Product Owner Credential?,Yes
Are you comfortable working in a remote setting?,Yes
How many years of work experience do you have with Blockchain?,0
How many years of urn:li:industry:80 experience do you currently have?,0
"Do you speak Bokmål, Norwegian?",No
How many years of urn:li:industry:29 experience do you currently have?,0
Do you have the following license or certification: Importer?,No
Company,
How many years of work experience do you have with Finance Transformation?,5
How many years of work experience do you have with Training?,3
Are you legally authorized to work in es?,No
Do you speak Czech?,No
How many years of work experience do you have with Enterprise Software?,10
How many years of work experience do you have with Requirements Management?,4
How many years of urn:li:industry:41 experience do you currently have?,0
Country,
Are you legally authorized to work in de?,No
Do you have the following license or certification: Lean Six Sigma Yellow Belt?,Yes
Do you speak Swedish?,No
How many years of work experience do you have with Python (Programming Language)?,5
How many years of urn:li:industry:47 experience do you currently have?,10
How many years of urn:li:industry:135 experience do you currently have?,0
How many years of work experience do you have with Visio?,5
How many years of work experience do you have with Azure DevOps Services?,0
What is your level of proficiency in hun?,None
What is your level of proficiency in swe?,None
